ID;Gemeente_Code;Gemeente_Naam;Provincie_Code;Provincie_Naam;Bevolking_Aantallen;zwaartepunt_x;zwaartepunt_y;oppervlakte_m2
725;GM0344;Utrecht;PV26;Utrecht;376757;133587.18202440836;455921.5936112155;99207318.32568966
740;GM0703;Reimerswaal;PV29;Zeeland;23335;66957.29564732539;384361.84639501985;242417229.75522426
749;GM0243;Harderwijk;PV25;Gelderland;50042;172510.57445879333;483742.57266759436;48270176.68316801
750;GM0523;Hardinxveld-Giessendam;PV28;Zuid-Holland;19123;118138.89905423303;427248.4826011321;19354825.68789348
759;GM0072;Harlingen;PV21;Fryslân;16210;146996.34126594794;572935.1524081185;387667542.28689206
760;GM0632;Woerden;PV26;Utrecht;53976;121547.37563566024;457746.1155508229;92923080.03839043
767;GM0244;Hattem;PV25;Gelderland;12745;200253.91878291228;498768.9559982771;24155743.600187525
768;GM0269;Oldebroek;PV25;Gelderland;24417;192379.56695430848;496717.8593415423;98835317.51661398
784;GM0396;Heemskerk;PV27;Noord-Holland;39380;104306.70237513343;503018.3044752217;31679529.12000902
785;GM0397;Heemstede;PV27;Noord-Holland;27638;102404.7517050083;484376.14986239496;9644212.598220505
791;GM0246;Heerde;PV25;Gelderland;19305;200124.64983794617;491120.9717465189;80420536.4771155
798;GM0642;Zwijndrecht;PV28;Zuid-Holland;44669;101127.28809335803;426204.0357986884;22774742.855806004
799;GM1674;Roosendaal;PV30;Noord-Brabant;77721;88174.78302657683;392017.41135117185;107164545.92978722
800;GM0917;Heerlen;PV31;Limburg;87522;195966.1967737512;322778.77695343754;45529897.1911475
802;GM1721;Bernheze;PV30;Noord-Brabant;32606;164229.88352557048;410663.9892300268;90415513.74216613
806;GM1658;Heeze-Leende;PV30;Noord-Brabant;17075;167539.42380517814;374644.9983841792;105044830.42869046
820;GM0399;Heiloo;PV27;Noord-Holland;24341;109022.32312047278;512693.0557475105;19013662.401407525
825;GM0589;Oudewater;PV26;Utrecht;10355;119109.23104067832;448919.4311534713;40101349.71680909
827;GM0400;Den Helder;PV27;Noord-Holland;56662;114530.69826854035;550493.3892740419;178799882.95414606
833;GM0794;Helmond;PV30;Noord-Brabant;96551;173741.6124744964;387490.09116306226;54752516.125509545
835;GM0498;Drechterland;PV27;Noord-Holland;20476;140521.8226928426;518872.74870402686;80587916.68093863
840;GM0531;Hendrik-Ido-Ambacht;PV28;Zuid-Holland;32859;103424.41406784258;428399.6530924831;11900762.566213517
841;GM0164;Hengelo (O.);PV23;Overijssel;83655;249974.40347320575;475007.7962288703;61830563.25469254
847;GM1669;Roerdalen;PV31;Limburg;20836;200756.70831371186;350897.1627626459;88785634.99566023
852;GM0957;Roermond;PV31;Limburg;61210;198631.73605734398;357052.39301389625;71050925.15072456
854;GM0796;'s-Hertogenbosch;PV30;Noord-Brabant;161530;152562.2544495955;414229.7512647205;117811837.30274385
861;GM0252;Heumen;PV25;Gelderland;16861;184763.38114226822;421112.8493366703;41536314.72295602
876;GM0534;Hillegom;PV28;Zuid-Holland;22786;99727.94802739494;479063.4744154154;13465357.684784997
878;GM0402;Hilversum;PV27;Noord-Holland;94393;140024.32262488248;470581.3252090005;46356151.38347352
894;GM0267;Nijkerk;PV25;Gelderland;45720;161640.51683799186;469341.22298830736;72040269.33503701
901;GM1742;Rijssen-Holten;PV23;Overijssel;38836;226413.92652983573;478676.041781019;94377337.70990062
915;GM1667;Reusel-De Mierden;PV30;Noord-Brabant;13653;138329.11462045854;376591.6771654826;78663279.72144695
919;GM0873;Woensdrecht;PV30;Noord-Brabant;22194;82299.09057497846;380426.4356417476;91970084.89987704
929;GM1884;Kaag en Braassem;PV28;Zuid-Holland;29316;103170.37501671654;467432.8546104698;72239362.07069935
935;GM1842;Midden-Delfland;PV28;Zuid-Holland;19423;80704.9872576055;442366.8546486432;49378740.921956025
953;GM0406;Huizen;PV27;Noord-Holland;41196;145099.40646989286;478973.1276420443;23322803.291505463
972;GM0180;Staphorst;PV23;Overijssel;17968;210504.33964418492;516536.9018214669;135693600.38090938
977;GM0353;IJsselstein;PV26;Utrecht;33339;130402.41064399104;448879.5680901846;21680241.490981497
980;GM0415;Landsmeer;PV27;Noord-Holland;11745;123548.93448443382;495968.8131602158;26504137.79005348
996;GM0880;Wormerland;PV27;Noord-Holland;16421;118871.44110499081;501722.17511297675;45175279.46960906
1009;GM0809;Loon op Zand;PV30;Noord-Brabant;24151;131488.0397415793;405802.0294876984;50711553.89979561
1017;GM0281;Tiel;PV25;Gelderland;42575;156353.38385750543;432950.5193055106;35512546.29243792
1019;GM0678;Kapelle;PV29;Zeeland;13012;56619.134844854685;390506.15414085257;49625274.6883385
1024;GM0537;Katwijk;PV28;Zuid-Holland;67089;88613.05785244318;467575.15328078915;31146532.013575476
1049;GM0285;Voorst;PV25;Gelderland;25567;203641.74904556776;471071.13327004976;126468690.8766059
1054;GM0986;Voerendaal;PV31;Limburg;12583;192260.6790890603;320085.20050834137;31521108.42175302
1101;GM0542;Krimpen aan den IJssel;PV28;Zuid-Holland;29793;100983.7310954869;436536.7931866439;8949084.628374979
1114;GM0451;Uithoorn;PV27;Noord-Holland;32115;114263.82290198728;472261.48465900094;19419052.625054535
1127;GM0882;Landgraaf;PV31;Limburg;36839;200424.7813514541;324274.2674190264;24665401.435521
1141;GM0417;Laren (NH.);PV27;Noord-Holland;11474;143381.32861346632;473250.54705338535;12411359.778597474
1156;GM0546;Leiden;PV28;Zuid-Holland;130638;93267.19005627335;463362.5102927415;23270262.111618508
1157;GM0547;Leiderdorp;PV28;Zuid-Holland;27751;97162.85893715039;463501.356984708;12275656.348940495
1158;GM1916;Leidschendam-Voorburg;PV28;Zuid-Holland;78318;88872.67838278742;456225.09716793307;35618150.63658944
1164;GM0995;Lelystad;PV24;Flevoland;84713;154156.0504178378;506120.9607656531;765452439.5094919
1167;GM0981;Vaals;PV31;Limburg;10007;196523.9174983384;309545.2155288118;23898053.514297485
1170;GM0268;Nijmegen;PV25;Gelderland;189007;185985.2994671102;427864.6861533573;57628048.721319616
1181;GM0946;Nederweert;PV31;Limburg;17512;181931.94889707307;367301.9962123697;101782071.5980246
1191;GM0847;Someren;PV30;Noord-Brabant;20200;176180.6141222536;376661.2870642357;81500588.39118043
1203;GM0335;Montfoort;PV26;Utrecht;13772;124600.17105281874;451136.3395753539;38202586.19859791
1205;GM0553;Lisse;PV28;Zuid-Holland;23582;97552.2119831563;474501.53192413674;16054142.669166472
1260;GM0556;Maassluis;PV28;Zuid-Holland;36436;76700.00181471974;438026.66699889157;10124598.764236003
1261;GM0935;Maastricht;PV31;Limburg;125563;176994.99548890066;318173.06397504965;60117959.14500855
1286;GM1773;Olst-Wijhe;PV23;Overijssel;19003;207180.7810034943;486820.2771952609;118369441.42807454
1321;GM0944;Mook en Middelaar;PV31;Limburg;8102;190389.7998817838;417753.3733996775;18810090.21319049
1326;GM0439;Purmerend;PV27;Noord-Holland;95912;124030.90774763774;506313.90353251103;96627015.75564694
1351;GM1892;Zuidplas;PV28;Zuid-Holland;48726;101426.18517928636;445898.3942455212;64050037.36348254
1416;GM0765;Pekela;PV20;Groningen;12459;261279.53050232367;566028.4397882118;50204905.52190446
